,wavelength,pacs160,pacs100,dnu
13232,14.84780025,0,1.00E-08,-7546017286
13233,14.85330105,0,1.00E-08,-7546017286
13234,14.85879993,0,1.00E-08,-7546017286
13235,14.86439991,0,1.00E-08,-7546017286
13236,14.8698988,0,1.00E-08,-7546017286
13237,14.87539959,0,1.00E-08,-7546017286
13238,14.88099957,0,1.00E-08,-7546017286
13239,14.88650036,0,1.00E-08,-7546017286
13240,14.8920002,0,1.00E-08,-7546017286
13241,14.89760017,0,1.00E-08,-7546017286
13242,14.90310097,0,1.00E-08,-7546017286
13243,14.90869904,0,1.00E-08,-7546017286
13244,14.91419983,0,1.00E-08,-7546017286
14357,25.60820007,0,1.00E-08,-7546017286
14358,25.62459946,0,1.00E-08,-7546017286
14359,25.64100075,0,1.00E-08,-7546017286
14360,25.65749931,0,1.00E-08,-7546017286
14361,25.6739006,0,1.00E-08,-7546017286
14362,25.69039917,0,1.00E-08,-7546017286
14363,25.70689964,0,1.00E-08,-7546017286
14364,25.7234993,0,1.00E-08,-7546017286
14365,25.73999977,0,1.00E-08,-7546017286
14366,25.75659943,0,1.00E-08,-7546017286
14367,25.77319908,0,1.00E-08,-7546017286
14368,25.78980064,0,1.00E-08,-7546017286
14369,25.80649948,0,1.00E-08,-7546017286
14370,25.82309914,0,1.00E-08,-7546017286
14371,25.83979988,0,1.00E-08,-7546017286
14372,25.85650063,0,1.00E-08,-7546017286
14373,25.87319946,0,1.00E-08,-7546017286
14651,31.54570007,0,1.00E-08,-7546017286
14652,31.57060242,0,1.20E-07,-7546017286
14653,31.59560013,0,3.30E-07,-7546017286
14654,31.62059784,0,4.30E-07,-7546017286
14655,31.64559937,0,3.60E-07,-7546017286
14656,31.67060089,0,1.90E-07,-7546017286
15085,48.95959854,0,1.00E-08,-7546017286
15086,49.01959991,0,1.00E-08,-7546017286
15087,49.07979965,0,1.00E-08,-7546017286
15088,49.13999939,0,1.00E-08,-7546017286
15089,49.20050049,0,1.00E-08,-7546017286
15090,49.26110077,0,2.00E-08,-7546017286
15091,49.32180023,0,2.00E-08,-7546017286
15092,49.38270187,0,2.00E-08,-7546017286
15093,49.44380188,0,3.00E-08,-7546017286
15094,49.50500107,0,3.00E-08,-7546017286
15095,49.56629944,0,2.00E-08,-7546017286
