,wavelength,spire500,spire350,spire250,dnu
317,345.074,1.82E-05,0.564532,7.54E-05,-2933316080
318,346.269,2.26E-05,0.557549,6.96E-05,-2933316080
319,347.352,3.63E-05,0.54245,6.32E-05,-2933316080
320,348.562,4.77E-05,0.543186,5.69E-05,-2933316080
321,349.781,6.10E-05,0.533633,5.10E-05,-2933316080
322,351.009,9.34E-05,0.540238,4.65E-05,-2933316080
323,352.122,0.000146173,0.566288,4.45E-05,-2933316080
324,353.366,0.000196826,0.600999,4.36E-05,-2933316080
325,354.619,0.00021965,0.636019,4.32E-05,-2933316080
326,355.881,0.000269957,0.643986,4.16E-05,-2933316080
327,357.152,0.000338143,0.6538,3.99E-05,-2933316080
328,358.303,0.000328081,0.645629,3.60E-05,-2933316080
329,359.592,0.000277329,0.616494,3.14E-05,-2933316080
330,360.89,0.000296555,0.603742,2.80E-05,-2933316080
331,362.197,0.000343586,0.60121,2.57E-05,-2933316080
332,363.513,0.000394858,0.60397,2.36E-05,-2933316080
333,364.706,0.000461399,0.619463,2.32E-05,-2933316080
334,366.041,0.000432553,0.628071,2.27E-05,-2933316080
335,367.386,0.000432001,0.652522,2.27E-05,-2933316080
336,368.741,0.000432746,0.660333,2.25E-05,-2933316080
337,369.969,0.000486677,0.672207,2.22E-05,-2933316080
338,371.342,0.000476848,0.684971,2.06E-05,-2933316080
339,372.727,0.000525815,0.700001,1.89E-05,-2933316080
340,374.121,0.000568374,0.695163,1.70E-05,-2933316080
341,375.526,0.000693957,0.68811,1.52E-05,-2933316080
342,376.799,0.000965648,0.685393,1.35E-05,-2933316080
343,378.224,0.00113115,0.686839,1.27E-05,-2933316080
344,379.66,0.00137454,0.689096,1.22E-05,-2933316080
345,381.107,0.00159838,0.690677,1.13E-05,-2933316080
346,382.565,0.00210678,0.695291,9.97E-06,-2933316080
347,383.887,0.0025952,0.713421,8.65E-06,-2933316080
348,385.366,0.003198,0.702554,7.92E-06,-2933316080
349,386.857,0.00409122,0.690346,7.51E-06,-2933316080
350,388.359,0.00520055,0.676651,7.66E-06,-2933316080
351,389.721,0.0065665,0.673247,8.56E-06,-2933316080
352,391.246,0.0086401,0.667821,9.74E-06,-2933316080
353,392.783,0.0116834,0.674112,1.08E-05,-2933316080
354,394.332,0.0154754,0.658061,1.15E-05,-2933316080
355,395.893,0.0201252,0.640055,1.22E-05,-2933316080
356,397.308,0.0260182,0.591725,1.26E-05,-2933316080
357,398.893,0.0339321,0.553154,1.30E-05,-2933316080
358,400.491,0.0435032,0.486634,1.30E-05,-2933316080
359,402.101,0.0555659,0.432106,1.31E-05,-2933316080
360,403.724,0.0720898,0.370573,1.34E-05,-2933316080
361,405.197,0.0919133,0.329391,1.45E-05,-2933316080
362,406.845,0.117695,0.276135,1.61E-05,-2933316080
363,408.507,0.155181,0.24177,1.80E-05,-2933316080
364,410.183,0.201115,0.212682,2.00E-05,-2933316080
365,411.702,0.254129,0.184372,2.19E-05,-2933316080
366,413.404,0.298692,0.153287,2.27E-05,-2933316080
367,415.12,0.336954,0.127813,2.30E-05,-2933316080
368,416.851,0.372671,0.0628322,2.33E-05,-2933316080
369,418.596,0.386563,0.029593,2.30E-05,-2933316080
370,420.179,0.39731,0.0175045,2.29E-05,-2933316080
371,421.952,0.410656,0.0115881,2.29E-05,-2933316080
372,423.739,0.425393,0.00824895,2.30E-05,-2933316080
373,425.543,0.436229,0.00591647,2.29E-05,-2933316080
374,427.179,0.449568,0.00451691,2.29E-05,-2933316080
375,429.011,0.458787,0.00359299,2.27E-05,-2933316080
376,430.86,0.471625,0.00282913,2.26E-05,-2933316080
377,432.724,0.473535,0.00220884,2.23E-05,-2933316080
378,434.605,0.481767,0.00179748,2.21E-05,-2933316080
379,436.311,0.471978,0.00146331,2.12E-05,-2933316080
380,438.223,0.473342,0.00122276,2.08E-05,-2933316080
381,440.152,0.483813,0.00108015,2.06E-05,-2933316080
382,442.098,0.49581,0.000980133,2.05E-05,-2933316080
383,444.061,0.50054,0.000866742,1.98E-05,-2933316080
384,445.843,0.498034,0.000755563,1.89E-05,-2933316080
385,447.839,0.502163,0.000662034,1.82E-05,-2933316080
386,449.854,0.480023,0.000560773,1.66E-05,-2933316080
387,451.887,0.475802,0.000492058,1.55E-05,-2933316080
388,453.732,0.476312,0.000440288,1.44E-05,-2933316080
389,455.8,0.472746,0.000415346,1.34E-05,-2933316080
390,457.887,0.472471,0.000404374,1.23E-05,-2933316080
391,459.993,0.490924,0.000399903,1.18E-05,-2933316080
392,462.119,0.508694,0.000385407,1.16E-05,-2933316080
393,464.049,0.514337,0.000364403,1.11E-05,-2933316080
394,466.212,0.535289,0.000349387,1.08E-05,-2933316080
395,468.396,0.528998,0.000322962,9.98E-06,-2933316080
396,470.6,0.524847,0.000295774,9.16E-06,-2933316080
397,472.825,0.508794,0.000261136,8.22E-06,-2933316080
398,474.846,0.506634,0,7.30E-06,-2933316080
399,477.111,0.48868,0,6.47E-06,-2933316080
400,479.398,0.488107,0,6.01E-06,-2933316080
401,481.708,0.481035,0,5.48E-06,-2933316080
402,483.805,0.49765,0,5.34E-06,-2933316080
403,486.157,0.515213,0,5.16E-06,-2933316080
404,488.532,0.527766,0,5.00E-06,-2933316080
405,490.93,0.533051,0,4.67E-06,-2933316080
406,493.352,0.527167,0,4.22E-06,-2933316080
407,495.553,0.529102,0,3.67E-06,-2933316080
408,498.02,0.527928,0,3.06E-06,-2933316080
409,500.513,0.533129,0,2.57E-06,-2933316080
410,503.031,0.535473,0,2.21E-06,-2933316080
411,505.574,0.531421,0,1.90E-06,-2933316080
412,507.885,0.522515,0,1.70E-06,-2933316080
413,510.477,0.535345,0,1.64E-06,-2933316080
414,513.097,0.549009,0,1.61E-06,-2933316080
415,515.743,0.538968,0,1.72E-06,-2933316080
416,518.148,0.549516,0,1.91E-06,-2933316080
417,520.846,0.555999,0,2.12E-06,-2933316080
418,523.573,0.541923,0,2.35E-06,-2933316080
419,526.329,0.548854,0,2.55E-06,-2933316080
420,529.114,0.569544,0,2.62E-06,-2933316080
421,531.645,0.603265,0,2.70E-06,-2933316080
422,534.487,0.600132,0,2.80E-06,-2933316080
423,537.359,0.611615,0,3.03E-06,-2933316080
424,540.262,0.623403,0,3.28E-06,-2933316080
425,543.197,0.615125,0,3.68E-06,-2933316080
426,545.865,0.618413,0,4.15E-06,-2933316080
427,548.861,0.60158,0,4.31E-06,-2933316080
428,551.89,0.598955,0,4.48E-06,-2933316080
429,554.953,0.617034,0,4.76E-06,-2933316080
430,557.739,0.603523,0,4.79E-06,-2933316080
431,560.867,0.62801,0,5.00E-06,-2933316080
432,564.03,0.679701,0,5.33E-06,-2933316080
433,567.229,0.69457,0,5.25E-06,-2933316080
434,570.465,0.710203,0,5.05E-06,-2933316080
435,573.409,0.710386,0,4.81E-06,-2933316080
436,576.716,0.699648,0,4.49E-06,-2933316080
437,580.061,0.687381,0,4.32E-06,-2933316080
438,583.445,0.703833,0,4.44E-06,-2933316080
439,586.525,0.702946,0,4.50E-06,-2933316080
440,589.985,0.740086,0,4.79E-06,-2933316080
441,593.487,0.776073,0,5.13E-06,-2933316080
442,597.03,0.761119,0,5.23E-06,-2933316080
443,600.616,0.771775,0,5.20E-06,-2933316080
444,603.88,0.788568,0,5.30E-06,-2933316080
445,607.549,0.791716,0,5.34E-06,-2933316080
446,611.262,0.346298,0,5.37E-06,-2933316080
447,615.022,0.193661,0,5.50E-06,-2933316080
448,618.827,0.130123,0,5.68E-06,-2933316080
449,622.293,0.0953178,0,5.91E-06,-2933316080
450,626.19,0.0749302,0,6.08E-06,-2933316080
451,630.136,0.0586051,0,5.93E-06,-2933316080
452,634.131,0.0475254,0,5.78E-06,-2933316080
453,637.771,0.0391422,0,5.49E-06,-2933316080
